task,task_id,arm,condition,repeat,layer,alpha,beta,episode,init_state,success,rollout_steps,checkpoint,candidate_sha,conceptor_source,gpu,output_dir
LR2a,0,H,BASELINE,1,11,0.5,0.3,10,10,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
LR2a,0,H,BASELINE,1,11,0.5,0.3,11,11,1,309,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
LR2a,0,H,BASELINE,1,11,0.5,0.3,12,12,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
LR2a,0,H,BASELINE,1,11,0.5,0.3,13,13,1,377,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
LR2a,0,H,BASELINE,1,11,0.5,0.3,14,14,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
LR2a,0,H,PAPER_GLOBAL,1,11,0.5,0.3,0,0,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate for_subin/build_conceptors.py (defaults) on brandonyang/pi05-libero-activations-v1-2000-15env@3e3a8fe2,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/global_L11_a0.5_b0.3
LR2a,0,H,PAPER_GLOBAL,1,11,0.5,0.3,1,1,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate for_subin/build_conceptors.py (defaults) on brandonyang/pi05-libero-activations-v1-2000-15env@3e3a8fe2,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/global_L11_a0.5_b0.3
LR2a,0,H,PAPER_GLOBAL,1,11,0.5,0.3,2,2,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate for_subin/build_conceptors.py (defaults) on brandonyang/pi05-libero-activations-v1-2000-15env@3e3a8fe2,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/global_L11_a0.5_b0.3
LR2a,0,H,PAPER_GLOBAL,1,11,0.5,0.3,3,3,1,413,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate for_subin/build_conceptors.py (defaults) on brandonyang/pi05-libero-activations-v1-2000-15env@3e3a8fe2,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/global_L11_a0.5_b0.3
LR2a,0,H,PAPER_GLOBAL,1,11,0.5,0.3,4,4,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate for_subin/build_conceptors.py (defaults) on brandonyang/pi05-libero-activations-v1-2000-15env@3e3a8fe2,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/global_L11_a0.5_b0.3
LR2a,0,H,PAPER_GLOBAL,1,11,0.5,0.3,5,5,1,272,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate for_subin/build_conceptors.py (defaults) on brandonyang/pi05-libero-activations-v1-2000-15env@3e3a8fe2,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/global_L11_a0.5_b0.3
LR2a,0,H,PAPER_GLOBAL,1,11,0.5,0.3,6,6,1,261,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate for_subin/build_conceptors.py (defaults) on brandonyang/pi05-libero-activations-v1-2000-15env@3e3a8fe2,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/global_L11_a0.5_b0.3
LR2a,0,H,PAPER_GLOBAL,1,11,0.5,0.3,7,7,1,263,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate for_subin/build_conceptors.py (defaults) on brandonyang/pi05-libero-activations-v1-2000-15env@3e3a8fe2,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/global_L11_a0.5_b0.3
LR2a,0,H,PAPER_GLOBAL,1,11,0.5,0.3,8,8,1,287,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate for_subin/build_conceptors.py (defaults) on brandonyang/pi05-libero-activations-v1-2000-15env@3e3a8fe2,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/global_L11_a0.5_b0.3
LR2a,0,H,PAPER_GLOBAL,1,11,0.5,0.3,9,9,1,449,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate for_subin/build_conceptors.py (defaults) on brandonyang/pi05-libero-activations-v1-2000-15env@3e3a8fe2,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/global_L11_a0.5_b0.3
LR2a,0,H,PAPER_GLOBAL,1,11,0.5,0.3,10,10,1,253,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate for_subin/build_conceptors.py (defaults) on brandonyang/pi05-libero-activations-v1-2000-15env@3e3a8fe2,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/global_L11_a0.5_b0.3
LR2a,0,H,PAPER_GLOBAL,1,11,0.5,0.3,11,11,1,460,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate for_subin/build_conceptors.py (defaults) on brandonyang/pi05-libero-activations-v1-2000-15env@3e3a8fe2,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/global_L11_a0.5_b0.3
LR2a,0,H,PAPER_GLOBAL,1,11,0.5,0.3,12,12,1,306,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate for_subin/build_conceptors.py (defaults) on brandonyang/pi05-libero-activations-v1-2000-15env@3e3a8fe2,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/global_L11_a0.5_b0.3
LR2a,0,H,PAPER_GLOBAL,1,11,0.5,0.3,13,13,1,419,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate for_subin/build_conceptors.py (defaults) on brandonyang/pi05-libero-activations-v1-2000-15env@3e3a8fe2,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/global_L11_a0.5_b0.3
LR2a,0,H,PAPER_GLOBAL,1,11,0.5,0.3,14,14,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate for_subin/build_conceptors.py (defaults) on brandonyang/pi05-libero-activations-v1-2000-15env@3e3a8fe2,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/global_L11_a0.5_b0.3
LR2a,0,H,RANDOM_CONTROL,1,11,0.5,0.3,0,0,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate compute_random_conceptor(seed=layer*100+int(beta*10)),0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/random_L11_b0.3
LR2a,0,H,RANDOM_CONTROL,1,11,0.5,0.3,1,1,1,248,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate compute_random_conceptor(seed=layer*100+int(beta*10)),0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/random_L11_b0.3
LR2a,0,H,RANDOM_CONTROL,1,11,0.5,0.3,2,2,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate compute_random_conceptor(seed=layer*100+int(beta*10)),0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/random_L11_b0.3
LR2a,0,H,RANDOM_CONTROL,1,11,0.5,0.3,3,3,1,309,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate compute_random_conceptor(seed=layer*100+int(beta*10)),0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/random_L11_b0.3
LR2a,0,H,RANDOM_CONTROL,1,11,0.5,0.3,4,4,1,334,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate compute_random_conceptor(seed=layer*100+int(beta*10)),0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/random_L11_b0.3
LR2a,0,H,RANDOM_CONTROL,1,11,0.5,0.3,5,5,1,393,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate compute_random_conceptor(seed=layer*100+int(beta*10)),0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/random_L11_b0.3
LR2a,0,H,RANDOM_CONTROL,1,11,0.5,0.3,6,6,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate compute_random_conceptor(seed=layer*100+int(beta*10)),0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/random_L11_b0.3
LR2a,0,H,RANDOM_CONTROL,1,11,0.5,0.3,7,7,1,238,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate compute_random_conceptor(seed=layer*100+int(beta*10)),0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/random_L11_b0.3
LR2a,0,H,RANDOM_CONTROL,1,11,0.5,0.3,8,8,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate compute_random_conceptor(seed=layer*100+int(beta*10)),0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/random_L11_b0.3
LR2a,0,H,RANDOM_CONTROL,1,11,0.5,0.3,9,9,1,332,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate compute_random_conceptor(seed=layer*100+int(beta*10)),0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/random_L11_b0.3
LR2a,0,H,RANDOM_CONTROL,1,11,0.5,0.3,10,10,1,274,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate compute_random_conceptor(seed=layer*100+int(beta*10)),0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/random_L11_b0.3
LR2a,0,H,RANDOM_CONTROL,1,11,0.5,0.3,11,11,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate compute_random_conceptor(seed=layer*100+int(beta*10)),0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/random_L11_b0.3
LR2a,0,H,RANDOM_CONTROL,1,11,0.5,0.3,12,12,1,293,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate compute_random_conceptor(seed=layer*100+int(beta*10)),0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/random_L11_b0.3
LR2a,0,H,RANDOM_CONTROL,1,11,0.5,0.3,13,13,1,338,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate compute_random_conceptor(seed=layer*100+int(beta*10)),0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/random_L11_b0.3
LR2a,0,H,RANDOM_CONTROL,1,11,0.5,0.3,14,14,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,candidate compute_random_conceptor(seed=layer*100+int(beta*10)),0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/random_L11_b0.3
LR2a,0,H,BASELINE,2,11,0.5,0.3,0,0,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,1,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep2/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
LR2a,0,H,BASELINE,2,11,0.5,0.3,1,1,1,371,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,1,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep2/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
LR2a,0,H,BASELINE,2,11,0.5,0.3,2,2,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,1,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep2/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
LR2a,0,H,BASELINE,2,11,0.5,0.3,3,3,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,1,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep2/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
